Model,Accuracy,Precision,Recall,F1_Score,TN,FP,FN,TP
Decision Tree (Scratch),0.9066666666666666,0.9066666666666666,1.0,0.951048951048951,0,28,0,272
Decision Tree (Sklearn),0.9066666666666666,0.9066666666666666,1.0,0.951048951048951,0,28,0,272
