Model,Library,Accuracy,Precision,Recall,F1-Score
Decision Tree (Scratch),Custom,0.615,0.549889135254989,0.39839357429718875,0.46204005589194225
Decision Tree,sklearn,0.616,0.624,0.18795180722891566,0.28888888888888886
Random Forest,sklearn,0.6393333333333333,0.6506469500924215,0.2827309236947791,0.39417693169092943
Extra Trees,sklearn,0.6183333333333333,0.7100840336134454,0.1357429718875502,0.22791638570465272
Gradient Boosting,sklearn,0.6333333333333333,0.5902864259028643,0.38072289156626504,0.462890625
Gradient Boosting,sklearn,0.6333333333333333,0.5902864259028643,0.38072289156626504,0.462890625
